"","genre","artist_name","track_name","track_id","popularity","acousticness","danceability","duration_ms","energy","instrumentalness","key","liveness","loudness","mode","speechiness","tempo","time_signature","valence"
"681","Classical","Wolfgang Amadeus Mozart","Serenade in D Major, K. 320 ""Posthorn"": 6. Minuetto","3GeDnfXrQT3LFNnSgjz2tv",54,0.935,0.498,298000,0.0955,0.903,"D",0.0988,-16.642,"Major",0.0397,121.96,"3/4",0.307
"682","Classical","Leo Brouwer","El Decaméron negro: III. Balada de la doncella enamorada","1i1G7966Jhx7t6H7GW1RWJ",23,0.897,0.265,338533,0.0721,0.907,"D",0.0923,-29.299,"Major",0.0393,143.593,"4/4",0.141
"683","Classical","Hector Berlioz","La Damnation de Faust, Op. 24, H. 111: Pt. II, Scène IV - ""Sans regrets j'ai quitté les riantes campagnes""","0vKyYw55ujZjc24M5a8hBF",0,0.957,0.168,290547,0.0484,0.000731,"F#",0.568,-28.327,"Minor",0.0485,81.153,"4/4",0.0419
"684","Classical","Liquid Tension Experiment","Another Dimension","45P98TO1cMwkRce78Hwn7c",34,0.00373,0.3,590507,0.902,0.862,"A",0.109,-6.117,"Major",0.0683,110.744,"4/4",0.39
"685","Classical","Ron Jarzombek","Frenetically Inconsistent Velocities Entwined","3in25oVyJTXmkYF7XjWqfl",35,6.14e-06,0.305,335865,0.924,0.902,"F#",0.122,-5.01,"Major",0.0663,92.509,"5/4",0.365
"686","Classical","Charles Ives","Piano Sonata No. 2 (""Concord, Mass., 1840-1860""): III. The Alcotts","150fORkYgd86AvvLp7jYcJ",36,0.992,0.303,339733,0.0372,0.887,"D#",0.073,-24.171,"Major",0.0497,72.147,"5/4",0.038
"687","Classical","Sergei Prokofiev","Symphony No. 1 in D Major, Op. 25 - ""Classical"": III. Gavotta, Non troppo allegro","3ZgNP72xwQpwQ75Atiknx0",24,0.977,0.544,100373,0.023,0.88,"D",0.0756,-21.542,"Major",0.0432,128.063,"4/4",0.116
"688","Classical","Rhapsody Of Fire","March Against the Tyrant","2xCPy6z5qUIwHMHyRBRVSx",47,0.00438,0.434,562693,0.884,0.000676,"G",0.27,-6.342,"Major",0.0687,89.967,"4/4",0.216
"689","Classical","Andy Timmons","Electric Gypsy","3O2RFTrcmj3flj2X2FCyLL",45,0.00565,0.433,273307,0.644,0.903,"C#",0.119,-8.131,"Major",0.0276,89.736,"4/4",0.308
"690","Classical","Nobuo Uematsu","Opera ""Maria and Draco"" (Final Fantasy VI)","6CB6I2fwz1G1VF0LxQwySm",37,0.971,0.216,735400,0.267,0.362,"B",0.129,-10.282,"Minor",0.0411,173.497,"3/4",0.0931
"691","Classical","Antonio Vivaldi","The Four Seasons - Spring in E Major, RV. 269: I. Allegro","4jOlYUMMsCacMm3xcrYRLl",40,0.764,0.491,202387,0.142,0.74,"E",0.248,-17.265,"Major",0.0361,112.295,"4/4",0.234
"692","Classical","Wolfgang Amadeus Mozart","Requiem in D Minor, K. 626: IVb. Offertory No. 2, Hostias et preces (Live)","7LzN8FihYXSQXWIbF7pZUP",12,0.995,0.246,224960,0.19,0.903,"G",0.167,-20.788,"Minor",0.0338,66.474,"4/4",0.076
"693","Classical","Sergei Prokofiev","Sonata for Solo Violin in D major Op. 115: II. Andante dolce (Theme and Variations)","1AzxDDB5E34uEYsfaqiZ2t",26,0.991,0.329,216373,0.0123,0.0172,"A#",0.295,-28.689,"Major",0.0492,130.079,"4/4",0.439
"694","Classical","Giuseppe Verdi","Il Trovatore / Act 3: ""Di quella pira""","0rzDX4x0oSI2Gs3mPEvoIl",47,0.975,0.36,203613,0.366,0.00229,"C",0.375,-11.636,"Major",0.0683,80.491,"4/4",0.386
"695","Classical","Franz Joseph Haydn","Keyboard Concerto in D Major, Hob. XVIII:11: II. Un poco Adagio in A Major","6D1zmrSRN4YGgJbqxYaeOz",39,0.974,0.289,349600,0.066,0.874,"A",0.0949,-26.11,"Major",0.0401,141.754,"4/4",0.0755
"696","Classical","Ludwig van Beethoven","Diabelli Variations, Op. 120: Variation 3. L'istesso tempo","0IlgLo5C6i3OXi1puC2Y2i",28,0.993,0.478,90760,0.0291,0.955,"C",0.115,-34.769,"Major",0.0553,67.692,"1/4",0.128
"697","Classical","Harold Budd","Little Heart","3QdEJzVqLqIIRsUSSF3m0C",35,0.975,0.279,458400,0.121,0.885,"A",0.0724,-22.386,"Minor",0.0432,82.076,"4/4",0.0411
"698","Classical","Antônio Carlos Jobim","How Insensitive (Insensatez)","56OMc2pr6XJgpQqASY7kYc",39,0.493,0.423,198333,0.217,0.0815,"E",0.122,-17.993,"Minor",0.0296,106.207,"4/4",0.237
"699","Classical","Peter Schmalfuss","Walzer, Nr. 3, A-Moll, op. 34,2","3qOMmeJ163fV0WHHN4toPj",26,0.995,0.315,314000,0.0156,0.902,"A",0.0706,-32.101,"Minor",0.0398,68.415,"5/4",0.0948
"700","Classical","Arnold Schoenberg","Weihnachtsmusik for 2 Violins, Cello, Harmonium and Piano","6gVSZnQNzZueXRDyOQfHsN",28,0.985,0.157,370400,0.0374,0.925,"C",0.107,-23.994,"Major",0.0389,142.967,"4/4",0.0762
"701","Comedy","Adam Ferrara","Organic Dawgala","3FghaAeDTRK3nwgpriBdGU",18,0.717,0.429,310954,0.943,0,"F#",0.831,-9.039,"Major",0.884,138.763,"5/4",0.335
"702","Comedy","Orny Adams","Peanut Allergies and My Family Towel","662RvxtLwIwUtTTRV3ikUo",12,0.737,0.498,154112,0.84,0,"F#",0.405,-10.994,"Major",0.951,168.27,"3/4",0.214
"703","Comedy","Monty Python","The Wise Men At The Manger - Life Of Brian / Soundtrack Version","19N5I1Q0cxeU66UX12TMIB",16,0.982,0.723,89267,0.177,2.45e-06,"G#",0.288,-15.319,"Major",0.913,118.472,"4/4",0.552
"704","Comedy","George Carlin","Family Newsletters","6zGamV2Nem2p88oz91zzDl",29,0.875,0.513,83000,0.901,0,"G",0.959,-13.558,"Major",0.934,61.618,"4/4",0.14
"705","Comedy","Caroline Rhea","What Is It You Can't Face?","6PQpo9nJ0U8t71ppCTLRw2",15,0.737,0.48,267053,0.853,0,"F",0.944,-13.263,"Minor",0.918,84.412,"4/4",0.307
"706","Comedy","Matt Braunger","Unicycle","0dQ47yLHhlNQqZgPTmh5Ek",19,0.869,0.598,56160,0.847,0,"D#",0.573,-6.347,"Minor",0.883,93.427,"5/4",0.315
"707","Comedy","Ibrahim Salem","Bagith Mashull","0fl4wu51lQMQYobDc0oEyA",31,0.884,0.503,377018,0.568,0,"A#",0.699,-11.659,"Major",0.899,79.5,"4/4",0.493
"708","Comedy","Hannibal Buress","Yeezus is the only true God - Live","6KtQVDyf8X6pmOJo1TQ8MF",35,0.856,0.708,164742,0.783,0,"A",0.646,-5.611,"Major",0.934,128.924,"3/4",0.255
"709","Comedy","Comedian Bob Marley","Celebrity Shingles and Chuck Woolery","5lLkAnJRpYDNQZZjYoDQuZ",11,0.771,0.65,215747,0.785,0,"F",0.821,-8.51,"Major",0.842,81.619,"5/4",0.508
"710","Comedy","Donnell Rawlings","Genius Mind","7vi8JFiozj0io24YkW5TBm",13,0.824,0.623,335947,0.51,0,"A#",0.669,-14.879,"Minor",0.954,141.867,"1/4",0.314
"711","Comedy","David Cross","Lesson Learned","1JZCRwp43kvczvnPLbCijc",21,0.716,0.638,230573,0.487,0,"C#",0.901,-12.369,"Minor",0.915,103.084,"3/4",0.188
"712","Comedy","D.L. Hughley","The Pope","4TDDtuolxzCPL1nynWQntu",25,0.764,0.597,124715,0.891,0,"D#",0.682,-8.017,"Minor",0.938,76.503,"3/4",0.289
"713","Comedy","Iliza Shlesinger","Eat What You Want","4Lvv0tonaSHMjTwXVDKlLf",25,0.841,0.656,230006,0.949,0,"B",0.788,-6.493,"Minor",0.934,108.688,"3/4",0.248
